t,mode,setL,setR,rpsL,rpsR,outL,outR,Kp,Ki,Kd,Vbat
0.004,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.008,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.028,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.048,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.068,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.088,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.108,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.128,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.148,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.168,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.188,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.208,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.228,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.248,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.268,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.288,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.308,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.328,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.348,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.368,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.388,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.408,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.428,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.448,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.468,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.488,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.508,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.528,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.548,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.568,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.588,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.608,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.628,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.648,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.668,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.688,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.708,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.728,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.748,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.768,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.788,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.808,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.828,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.848,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.868,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.888,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.908,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.928,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.948,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.968,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
0.988,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.008,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.028,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.048,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.068,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.088,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.108,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.128,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.148,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.168,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.188,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.208,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.228,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.248,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.268,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.288,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.308,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.328,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.348,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.9000,0.0000,0.0500,
1.368,FWD,1.200,1.200,0.000,0.000,1.0000,1.0000,0.9000,0.0000,0.0500,
1.389,FWD,1.200,1.200,0.145,0.217,0.5077,0.2612,0.9000,0.0000,0.0500,
1.412,FWD,1.200,1.200,1.057,1.268,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.429,FWD,1.200,1.200,0.750,0.825,1.0000,1.0000,0.9000,0.0000,0.0500,
1.449,FWD,1.200,1.200,0.072,0.072,1.0000,1.0000,0.9000,0.0000,0.0500,
1.479,FWD,1.200,1.200,1.346,1.273,-1.0000,-1.0000,0.9000,0.0000,0.0500,
1.489,FWD,1.200,1.200,1.255,1.923,0.0990,-1.0000,0.9000,0.0000,0.0500,
1.509,FWD,1.200,1.200,0.074,0.442,1.0000,1.0000,0.9000,0.0000,0.0500,
1.529,FWD,1.200,1.200,0.435,-0.362,-0.2942,1.0000,0.9000,0.0000,0.0500,
1.550,FWD,1.200,1.200,0.872,1.162,-0.8763,-1.0000,0.9000,0.0000,0.0500,
1.569,FWD,1.200,1.200,0.073,1.233,1.0000,-0.6134,0.9000,0.0000,0.0500,
1.589,FWD,1.200,1.200,-0.290,-0.363,1.0000,1.0000,0.9000,0.0000,0.0500,
1.610,FWD,1.200,1.200,1.214,-0.357,-1.0000,0.9809,0.9000,0.0000,0.0500,
1.629,FWD,1.200,1.200,1.179,1.032,-0.2349,-1.0000,0.9000,0.0000,0.0500,
1.649,FWD,1.200,1.200,-0.508,1.160,1.0000,-0.6920,0.9000,0.0000,0.0500,
1.669,FWD,1.200,1.200,-0.290,-0.435,0.2607,1.0000,0.9000,0.0000,0.0500,
1.689,FWD,1.200,1.200,1.012,-0.506,-1.0000,1.0000,0.9000,0.0000,0.0500,
1.710,FWD,1.200,1.200,0.719,1.007,0.6293,-1.0000,0.9000,0.0000,0.0500,
