t,base,turn,setL,setR,rpsL,rpsR,uFFL,uFFR,uPIDL,uPIDR,outL,outR
0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.183,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.203,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.223,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.244,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.264,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.323,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.344,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.364,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.383,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.404,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.424,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.443,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.464,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.484,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.504,0.060,0.000,0.060,0.060,0.000,0.000,0.1338,0.1338,0.0360,0.0360,0.1000,0.1000
0.524,0.120,0.000,0.120,0.120,0.000,0.000,0.1476,0.1476,0.0720,0.0720,0.2000,0.2000
0.544,0.180,0.000,0.180,0.180,0.073,0.073,0.1614,0.1614,-0.1169,-0.1169,0.1000,0.1000
0.564,0.240,0.000,0.240,0.240,0.073,0.145,0.1752,0.1752,0.1005,-0.1244,0.2000,0.0508
0.584,0.300,0.000,0.300,0.300,0.218,0.000,0.1890,0.1890,-0.3132,0.5427,0.1000,0.1508
0.604,0.360,0.000,0.360,0.360,0.145,0.000,0.2028,0.2028,0.3102,0.2160,0.2000,0.2508
0.624,0.420,0.000,0.420,0.420,0.218,0.218,0.2166,0.2166,-0.0601,-0.4227,0.1565,0.1508
0.644,0.480,0.000,0.480,0.480,0.218,0.363,0.2304,0.2304,0.1576,-0.2923,0.2565,0.0508
0.664,0.540,0.000,0.540,0.540,0.290,0.218,0.2442,0.2442,-0.0313,0.5563,0.2129,0.1508
0.685,0.600,0.000,0.600,0.600,0.435,0.218,0.2580,0.2580,-0.2641,0.2293,0.1129,0.2508
0.705,0.660,0.000,0.660,0.660,0.432,0.432,0.2718,0.2718,0.1435,-0.4006,0.2129,0.1508
0.725,0.720,0.000,0.720,0.720,0.511,0.438,0.2856,0.2856,-0.0711,0.1553,0.2145,0.2508
0.745,0.780,0.000,0.780,0.780,0.653,0.508,0.2994,0.2994,-0.2778,-0.0108,0.1145,0.2886
0.765,0.840,0.000,0.840,0.840,0.580,0.653,0.3132,0.3132,0.3367,-0.2507,0.2145,0.1886
0.786,0.900,0.000,0.900,0.900,0.653,0.798,0.3270,0.3270,-0.0328,-0.3012,0.2942,0.0886
