t,cmd,setL,setR,rpsL,rpsR,outL,outR,Kp,Ki,Kd
0.002,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.003,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.024,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.044,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.064,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.084,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.104,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.124,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.144,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.163,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.184,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.203,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.223,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.243,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.263,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.283,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.303,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.323,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.343,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.363,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.383,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.403,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.423,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.443,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.463,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.483,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.503,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.524,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.543,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.564,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.583,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.604,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.623,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.643,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.663,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.683,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.703,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.723,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.743,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.763,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.783,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.804,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.823,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.843,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.863,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.883,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.903,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.923,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.943,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.963,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
0.983,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.003,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.023,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.043,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.063,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.083,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.104,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.124,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.144,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.164,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.184,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.204,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.224,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.244,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.264,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.284,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.304,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.324,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.344,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.364,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.384,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.404,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.424,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.444,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.464,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.484,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.504,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.524,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.544,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.564,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.584,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.604,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.624,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.644,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.664,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.684,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.704,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.724,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.744,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.764,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.784,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.804,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.825,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.845,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.864,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.884,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.904,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.924,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.944,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.964,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
1.984,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.004,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.024,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.044,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.064,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.084,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.104,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.124,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.144,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.164,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.184,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.204,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.224,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.244,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.264,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.284,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.304,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.324,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.344,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.364,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.384,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.404,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.424,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.444,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.464,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.484,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.504,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.524,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.544,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.564,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.585,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.604,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.624,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.644,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.664,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.684,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.704,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.724,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.744,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.765,W,0.060,0.060,0.000,0.000,0.0360,0.0360,0.600,0.000,0.000
