t,set_left_rps,set_right_rps,meas_left_rps,meas_right_rps,out_left,out_right,Kp,Ki,Kd,battery_v
0.006,1.000,1.000,0.000,0.000,0.9000,0.9000,0.9000,0.0000,0.0500,
0.009,1.000,1.000,0.000,0.000,0.9000,0.9000,0.9000,0.0000,0.0500,
0.031,1.000,1.000,-0.375,-0.300,1.0000,1.0000,0.9000,0.0000,0.0500,
0.064,1.000,1.000,-1.305,-1.305,1.0000,1.0000,0.9000,0.0000,0.0500,
0.082,1.000,1.000,-2.027,-2.029,1.0000,1.0000,0.9000,0.0000,0.0500,
0.119,1.000,1.000,-1.965,-1.965,0.7894,0.7853,0.9000,0.0000,0.0500,
0.173,1.000,1.000,-2.045,-2.045,1.0000,1.0000,0.9000,0.0000,0.0500,
0.217,1.000,1.000,-2.198,-2.276,1.0000,1.0000,0.9000,0.0000,0.0500,
0.264,1.000,1.000,-2.376,-2.341,1.0000,1.0000,0.9000,0.0000,0.0500,
0.306,1.000,1.000,-2.407,-2.379,1.0000,1.0000,0.9000,0.0000,0.0500,
0.374,1.000,1.000,-2.398,-2.366,0.9697,0.9556,0.9000,0.0000,0.0500,
0.446,1.000,1.000,-2.474,-2.346,1.0000,0.9203,0.9000,0.0000,0.0500,
0.519,1.000,1.000,-2.483,-2.382,1.0000,1.0000,0.9000,0.0000,0.0500,
0.588,1.000,1.000,-2.441,-2.401,0.8567,1.0000,0.9000,0.0000,0.0500,
0.671,1.000,1.000,-2.460,-2.380,1.0000,0.9287,0.9000,0.0000,0.0500,
0.749,1.000,1.000,-2.419,-2.419,0.8410,1.0000,0.9000,0.0000,0.0500,
0.822,1.000,1.000,-2.366,-2.478,0.7609,1.0000,0.9000,0.0000,0.0500,
0.899,1.000,1.000,-2.426,-2.446,1.0000,0.8937,0.9000,0.0000,0.0500,
0.977,1.000,1.000,-2.406,-2.425,0.8819,0.8995,0.9000,0.0000,0.0500,
1.055,1.000,1.000,-2.354,-2.503,0.7519,1.0000,0.9000,0.0000,0.0500,
1.128,1.000,1.000,-2.386,-2.480,0.9953,0.9206,0.9000,0.0000,0.0500,
1.211,1.000,1.000,-2.384,-2.469,0.9068,0.9426,0.9000,0.0000,0.0500,
1.284,1.000,1.000,-2.304,-2.538,0.6379,1.0000,0.9000,0.0000,0.0500,
1.356,1.000,1.000,-2.346,-2.493,0.9817,0.8464,0.9000,0.0000,0.0500,
1.439,1.000,1.000,-2.370,-2.471,0.9600,0.8855,0.9000,0.0000,0.0500,
